outcome,group,block,n,mean,sd,ci95_low,ci95_high
interpretability,Scaffold,early,15,5.492,1.117,4.873,6.110
interpretability,Scaffold,middle,15,5.667,0.968,5.131,6.203
interpretability,Scaffold,transfer,15,5.600,1.420,4.814,6.386
interpretability,Control,early,10,5.900,0.661,5.427,6.373
interpretability,Control,middle,10,5.812,0.981,5.111,6.514
interpretability,Control,transfer,10,6.037,0.425,5.733,6.342
spatial_specificity,Scaffold,early,15,4.708,1.374,3.947,5.469
spatial_specificity,Scaffold,middle,15,5.158,1.471,4.344,5.973
spatial_specificity,Scaffold,transfer,15,4.867,1.631,3.963,5.770
spatial_specificity,Control,early,10,5.138,1.025,4.404,5.871
spatial_specificity,Control,middle,10,5.025,1.191,4.173,5.877
spatial_specificity,Control,transfer,10,5.400,0.993,4.690,6.110
temporal_action_specificity,Scaffold,early,15,4.958,1.402,4.182,5.735
temporal_action_specificity,Scaffold,middle,15,4.500,1.138,3.870,5.130
temporal_action_specificity,Scaffold,transfer,15,5.025,1.371,4.266,5.784
temporal_action_specificity,Control,early,10,5.825,0.537,5.441,6.209
temporal_action_specificity,Control,middle,10,5.562,0.751,5.026,6.099
temporal_action_specificity,Control,transfer,10,5.162,1.192,4.310,6.015
executability,Scaffold,early,15,5.133,1.183,4.478,5.789
executability,Scaffold,middle,15,5.358,1.034,4.786,5.931
executability,Scaffold,transfer,15,5.342,1.403,4.564,6.119
executability,Control,early,10,5.650,0.810,5.071,6.229
executability,Control,middle,10,5.588,1.090,4.808,6.367
executability,Control,transfer,10,5.912,0.449,5.591,6.234
overall_precision,Scaffold,early,15,5.133,1.123,4.511,5.755
overall_precision,Scaffold,middle,15,5.358,1.021,4.793,5.924
overall_precision,Scaffold,transfer,15,5.317,1.361,4.563,6.070
overall_precision,Control,early,10,5.662,0.768,5.113,6.212
overall_precision,Control,middle,10,5.575,1.019,4.846,6.304
overall_precision,Control,transfer,10,5.825,0.487,5.477,6.173
reconstructable,Scaffold,early,15,0.817,0.295,0.654,0.980
reconstructable,Scaffold,middle,15,0.867,0.214,0.748,0.985
reconstructable,Scaffold,transfer,15,0.833,0.298,0.669,0.998
reconstructable,Control,early,10,0.963,0.084,0.902,1.023
reconstructable,Control,middle,10,0.912,0.277,0.715,1.110
reconstructable,Control,transfer,10,0.988,0.040,0.959,1.016
