participant_id,group,block,outcome,value
P001,Scaffold,early,interpretability,6.375000
P001,Scaffold,early,spatial_specificity,5.125000
P001,Scaffold,early,temporal_action_specificity,6.375000
P001,Scaffold,early,executability,5.750000
P001,Scaffold,early,overall_precision,5.750000
P001,Scaffold,early,reconstructable,1.000000
P001,Scaffold,middle,interpretability,5.875000
P001,Scaffold,middle,spatial_specificity,4.625000
P001,Scaffold,middle,temporal_action_specificity,5.500000
P001,Scaffold,middle,executability,5.625000
P001,Scaffold,middle,overall_precision,5.625000
P001,Scaffold,middle,reconstructable,1.000000
P001,Scaffold,transfer,interpretability,7.000000
P001,Scaffold,transfer,spatial_specificity,5.875000
P001,Scaffold,transfer,temporal_action_specificity,6.250000
P001,Scaffold,transfer,executability,6.500000
P001,Scaffold,transfer,overall_precision,6.500000
P001,Scaffold,transfer,reconstructable,1.000000
P002,Control,early,interpretability,5.250000
P002,Control,early,spatial_specificity,4.000000
P002,Control,early,temporal_action_specificity,5.625000
P002,Control,early,executability,5.125000
P002,Control,early,overall_precision,5.125000
P002,Control,early,reconstructable,0.875000
P002,Control,middle,interpretability,6.875000
P002,Control,middle,spatial_specificity,6.000000
P002,Control,middle,temporal_action_specificity,5.750000
P002,Control,middle,executability,6.625000
P002,Control,middle,overall_precision,6.250000
P002,Control,middle,reconstructable,1.000000
P002,Control,transfer,interpretability,5.875000
P002,Control,transfer,spatial_specificity,4.750000
P002,Control,transfer,temporal_action_specificity,4.500000
P002,Control,transfer,executability,5.875000
P002,Control,transfer,overall_precision,5.375000
P002,Control,transfer,reconstructable,1.000000
P003,Scaffold,early,interpretability,5.500000
P003,Scaffold,early,spatial_specificity,5.125000
P003,Scaffold,early,temporal_action_specificity,5.500000
P003,Scaffold,early,executability,5.125000
P003,Scaffold,early,overall_precision,5.125000
P003,Scaffold,early,reconstructable,1.000000
P003,Scaffold,middle,interpretability,5.250000
P003,Scaffold,middle,spatial_specificity,4.000000
P003,Scaffold,middle,temporal_action_specificity,5.625000
P003,Scaffold,middle,executability,5.000000
P003,Scaffold,middle,overall_precision,5.000000
P003,Scaffold,middle,reconstructable,1.000000
P003,Scaffold,transfer,interpretability,4.250000
P003,Scaffold,transfer,spatial_specificity,3.250000
P003,Scaffold,transfer,temporal_action_specificity,4.625000
P003,Scaffold,transfer,executability,4.000000
P003,Scaffold,transfer,overall_precision,4.125000
P003,Scaffold,transfer,reconstructable,0.625000
P004,Scaffold,early,interpretability,6.500000
P004,Scaffold,early,spatial_specificity,6.250000
P004,Scaffold,early,temporal_action_specificity,3.000000
P004,Scaffold,early,executability,6.000000
P004,Scaffold,early,overall_precision,6.000000
P004,Scaffold,early,reconstructable,1.000000
P004,Scaffold,middle,interpretability,5.000000
P004,Scaffold,middle,spatial_specificity,5.000000
P004,Scaffold,middle,temporal_action_specificity,2.125000
P004,Scaffold,middle,executability,4.625000
P004,Scaffold,middle,overall_precision,4.625000
P004,Scaffold,middle,reconstructable,0.500000
P004,Scaffold,transfer,interpretability,7.000000
P004,Scaffold,transfer,spatial_specificity,7.000000
P004,Scaffold,transfer,temporal_action_specificity,5.000000
P004,Scaffold,transfer,executability,6.750000
P004,Scaffold,transfer,overall_precision,6.750000
P004,Scaffold,transfer,reconstructable,1.000000
P005,Control,early,interpretability,6.000000
P005,Control,early,spatial_specificity,5.625000
P005,Control,early,temporal_action_specificity,6.000000
P005,Control,early,executability,5.875000
P005,Control,early,overall_precision,5.875000
P005,Control,early,reconstructable,1.000000
P005,Control,middle,interpretability,6.000000
P005,Control,middle,spatial_specificity,5.500000
P005,Control,middle,temporal_action_specificity,6.125000
P005,Control,middle,executability,6.000000
P005,Control,middle,overall_precision,6.000000
P005,Control,middle,reconstructable,1.000000
P005,Control,transfer,interpretability,6.000000
P005,Control,transfer,spatial_specificity,5.375000
P005,Control,transfer,temporal_action_specificity,5.750000
P005,Control,transfer,executability,6.000000
P005,Control,transfer,overall_precision,6.000000
P005,Control,transfer,reconstructable,1.000000
P006,Control,early,interpretability,6.250000
P006,Control,early,spatial_specificity,5.500000
P006,Control,early,temporal_action_specificity,6.125000
P006,Control,early,executability,5.875000
P006,Control,early,overall_precision,5.875000
P006,Control,early,reconstructable,1.000000
P006,Control,middle,interpretability,5.500000
P006,Control,middle,spatial_specificity,5.000000
P006,Control,middle,temporal_action_specificity,4.625000
P006,Control,middle,executability,5.125000
P006,Control,middle,overall_precision,5.250000
P006,Control,middle,reconstructable,1.000000
P006,Control,transfer,interpretability,6.375000
P006,Control,transfer,spatial_specificity,5.750000
P006,Control,transfer,temporal_action_specificity,5.625000
P006,Control,transfer,executability,6.250000
P006,Control,transfer,overall_precision,6.250000
P006,Control,transfer,reconstructable,1.000000
P007,Control,early,interpretability,5.500000
P007,Control,early,spatial_specificity,4.625000
P007,Control,early,temporal_action_specificity,6.000000
P007,Control,early,executability,5.375000
P007,Control,early,overall_precision,5.375000
P007,Control,early,reconstructable,1.000000
P007,Control,middle,interpretability,3.375000
P007,Control,middle,spatial_specificity,2.250000
P007,Control,middle,temporal_action_specificity,4.000000
P007,Control,middle,executability,2.875000
P007,Control,middle,overall_precision,3.000000
P007,Control,middle,reconstructable,0.125000
P007,Control,transfer,interpretability,6.250000
P007,Control,transfer,spatial_specificity,4.250000
P007,Control,transfer,temporal_action_specificity,6.250000
P007,Control,transfer,executability,6.000000
P007,Control,transfer,overall_precision,5.875000
P007,Control,transfer,reconstructable,1.000000
P008,Control,early,interpretability,6.500000
P008,Control,early,spatial_specificity,5.625000
P008,Control,early,temporal_action_specificity,6.250000
P008,Control,early,executability,6.500000
P008,Control,early,overall_precision,6.375000
P008,Control,early,reconstructable,1.000000
P008,Control,middle,interpretability,5.375000
P008,Control,middle,spatial_specificity,4.000000
P008,Control,middle,temporal_action_specificity,5.625000
P008,Control,middle,executability,5.125000
P008,Control,middle,overall_precision,5.000000
P008,Control,middle,reconstructable,1.000000
P008,Control,transfer,interpretability,5.250000
P008,Control,transfer,spatial_specificity,5.000000
P008,Control,transfer,temporal_action_specificity,5.500000
P008,Control,transfer,executability,5.250000
P008,Control,transfer,overall_precision,5.250000
P008,Control,transfer,reconstructable,0.875000
P009,Scaffold,early,interpretability,6.500000
P009,Scaffold,early,spatial_specificity,6.000000
P009,Scaffold,early,temporal_action_specificity,5.500000
P009,Scaffold,early,executability,6.500000
P009,Scaffold,early,overall_precision,6.375000
P009,Scaffold,early,reconstructable,1.000000
P009,Scaffold,middle,interpretability,6.500000
P009,Scaffold,middle,spatial_specificity,7.000000
P009,Scaffold,middle,temporal_action_specificity,4.625000
P009,Scaffold,middle,executability,6.250000
P009,Scaffold,middle,overall_precision,6.375000
P009,Scaffold,middle,reconstructable,1.000000
P009,Scaffold,transfer,interpretability,6.500000
P009,Scaffold,transfer,spatial_specificity,6.625000
P009,Scaffold,transfer,temporal_action_specificity,3.375000
P009,Scaffold,transfer,executability,6.125000
P009,Scaffold,transfer,overall_precision,6.125000
P009,Scaffold,transfer,reconstructable,1.000000
P010,Scaffold,early,interpretability,5.000000
P010,Scaffold,early,spatial_specificity,4.125000
P010,Scaffold,early,temporal_action_specificity,5.000000
P010,Scaffold,early,executability,4.750000
P010,Scaffold,early,overall_precision,4.750000
P010,Scaffold,early,reconstructable,0.625000
P010,Scaffold,middle,interpretability,6.500000
P010,Scaffold,middle,spatial_specificity,6.250000
P010,Scaffold,middle,temporal_action_specificity,5.750000
P010,Scaffold,middle,executability,6.250000
P010,Scaffold,middle,overall_precision,6.375000
P010,Scaffold,middle,reconstructable,1.000000
P010,Scaffold,transfer,interpretability,6.125000
P010,Scaffold,transfer,spatial_specificity,5.125000
P010,Scaffold,transfer,temporal_action_specificity,6.125000
P010,Scaffold,transfer,executability,6.000000
P010,Scaffold,transfer,overall_precision,5.875000
P010,Scaffold,transfer,reconstructable,1.000000
P011,Scaffold,early,interpretability,6.750000
P011,Scaffold,early,spatial_specificity,5.625000
P011,Scaffold,early,temporal_action_specificity,6.500000
