expert_id,item_id,participant_id,task_id,stage,block,image_id,interpretability,spatial_specificity,temporal_action_specificity,executability,overall_precision,reconstructable
expert_01,I001,P006,T1_early_C01,T1,early,C01,6,6,5,6,6,1
expert_01,I002,P013,T3_transfer_D04,T3,transfer,D04,3,2,3,2,3,0
expert_01,I003,P001,T2_middle_A04,T2,middle,A04,5,3,5,4,4,1
expert_01,I004,P002,T1_early_C02,T1,early,C02,5,3,5,4,4,1
expert_01,I005,P017,T1_early_A03,T1,early,A03,5,3,5,4,4,1
expert_01,I006,P005,T1_middle_E03,T1,middle,E03,6,5,6,6,6,1
expert_01,I007,P001,T1_early_E04,T1,early,E04,7,6,7,6,6,1
expert_01,I008,P003,T1_early_D02,T1,early,D02,6,5,6,5,5,1
expert_01,I009,P009,T1_early_C02,T1,early,C02,7,7,7,7,7,1
expert_01,I010,P003,T3_transfer_E05,T3,transfer,E05,5,4,5,4,4,1
expert_01,I011,P010,T3_transfer_D01,T3,transfer,D01,6,5,6,6,6,1
expert_01,I012,P003,T1_early_E02,T1,early,E02,6,5,6,5,5,1
expert_01,I013,P019,T2_middle_D05,T2,middle,D05,5,4,3,4,4,1
expert_01,I014,P016,T3_transfer_C02,T3,transfer,C02,5,5,4,5,5,1
expert_01,I015,P009,T3_transfer_E01,T3,transfer,E01,7,6,4,6,6,1
expert_01,I016,P007,T3_transfer_E05,T3,transfer,E05,6,5,6,6,6,1
expert_01,I017,P001,T2_middle_E05,T2,middle,E05,7,6,6,6,6,1
expert_01,I018,P002,T3_transfer_E03,T3,transfer,E03,6,4,4,6,5,1
expert_01,I019,P016,T3_transfer_D06,T3,transfer,D06,2,2,1,2,2,0
expert_01,I020,P017,T1_early_E04,T1,early,E04,6,4,6,5,6,1
expert_01,I021,P008,T3_transfer_C04,T3,transfer,C04,5,4,5,5,5,1
expert_01,I022,P013,T2_middle_C03,T2,middle,C03,7,6,7,6,6,1
expert_01,I023,P007,T1_early_D01,T1,early,D01,5,2,5,4,4,1
expert_01,I024,P020,T2_middle_A05,T2,middle,A05,6,3,6,5,5,1
expert_01,I025,P014,T1_early_C04,T1,early,C04,5,2,5,4,4,1
expert_01,I026,P018,T2_middle_D03,T2,middle,D03,7,7,6,7,7,1
expert_01,I027,P005,T1_early_D03,T1,early,D03,6,5,6,5,5,1
expert_01,I028,P018,T1_early_C03,T1,early,C03,2,2,1,2,2,0
expert_01,I029,P005,T3_transfer_C02,T3,transfer,C02,6,5,6,6,6,1
expert_01,I030,P001,T3_transfer_C01,T3,transfer,C01,7,5,7,6,6,1
expert_01,I031,P001,T3_transfer_D05,T3,transfer,D05,7,6,6,6,6,1
expert_01,I032,P017,T3_transfer_C04,T3,transfer,C04,6,4,6,5,5,1
expert_01,I033,P016,T1_early_D02,T1,early,D02,7,7,3,6,6,1
expert_01,I034,P015,T1_early_E05,T1,early,E05,5,3,5,4,4,1
expert_01,I035,P013,T1_early_A05,T1,early,A05,4,2,4,3,3,0
expert_01,I036,P010,T2_middle_E01,T2,middle,E01,6,5,5,5,5,1
expert_01,I037,P015,T3_transfer_C02,T3,transfer,C02,5,3,5,5,5,1
expert_01,I038,P019,T3_transfer_C03,T3,transfer,C03,6,6,6,5,5,1
expert_01,I039,P012,T3_transfer_A05,T3,transfer,A05,7,7,6,6,6,1
expert_01,I040,P020,T1_early_D02,T1,early,D02,3,1,3,2,2,0
expert_01,I041,P016,T2_middle_E03,T2,middle,E03,5,5,3,4,4,1
expert_01,I042,P010,T1_early_E04,T1,early,E04,4,2,4,3,3,0
expert_01,I043,P006,T3_transfer_D05,T3,transfer,D05,7,6,6,6,6,1
expert_01,I044,P007,T1_early_D02,T1,early,D02,6,6,7,6,6,1
