participant_id,n_items,n_ratings,mean_interpretability,mean_spatial_specificity,mean_temporal_action_specificity,mean_executability,mean_overall_precision,mean_reconstructable
P001,6,24,6.417,5.208,6.042,5.958,5.958,1.000
P002,6,24,6.000,4.917,5.292,5.875,5.583,0.958
P003,6,24,5.000,4.125,5.250,4.708,4.750,0.875
P004,6,24,6.167,6.083,3.375,5.792,5.792,0.833
P005,6,24,6.000,5.500,5.958,5.958,5.958,1.000
P006,6,24,6.042,5.417,5.458,5.750,5.792,1.000
P007,6,24,5.042,3.708,5.417,4.750,4.750,0.708
P008,6,24,5.708,4.875,5.792,5.625,5.542,0.958
P009,6,24,6.500,6.542,4.500,6.292,6.292,1.000
P010,6,24,5.875,5.167,5.625,5.667,5.667,0.875
P011,6,24,6.458,6.125,5.417,6.250,6.250,1.000
P012,6,24,6.750,6.875,5.292,6.583,6.625,1.000
P013,6,24,3.375,2.667,3.250,3.042,3.208,0.167
P014,6,24,4.500,3.083,4.750,4.125,4.083,0.750
P015,6,24,5.667,4.333,5.417,5.250,5.333,1.000
P016,6,24,5.125,4.500,3.500,4.875,4.750,0.833
P017,6,24,5.250,4.458,4.750,4.833,4.875,0.792
P018,6,24,6.042,5.375,3.583,5.792,5.542,0.833
P019,6,24,6.208,5.417,5.625,5.875,5.875,1.000
P020,6,24,4.250,2.958,4.542,4.000,3.917,0.667
