item_id,participant_id,interpretability,specificity,executability
I001,P014,4,2,4
I002,P006,5,3,5
I003,P002,4,2,4
I004,P003,4,2,4
I005,P010,4,2,4
I006,P001,5,3,5
I007,P001,4,2,4
I008,P007,4,2,3
I009,P019,5,3,5
I010,P008,4,2,4
I011,P003,4,3,4
I012,P017,4,2,4
I013,P015,5,3,5
I014,P003,3,1,3
I015,P017,6,7,7
I016,P001,5,4,5
I017,P002,5,3,5
I018,P020,4,2,4
I019,P016,2,1,2
I020,P005,4,3,4
I021,P015,4,2,4
I022,P005,5,3,5
I023,P011,6,5,6
I024,P002,5,4,5
I025,P018,5,4,5
I026,P018,5,4,5
I027,P010,5,3,5
I028,P014,4,2,4
I029,P001,5,4,5
I030,P009,6,5,6
I031,P020,4,2,4
I032,P007,5,3,5
I033,P009,6,6,6
I034,P016,4,3,4
I035,P015,4,2,4
I036,P017,7,7,7
I037,P020,2,1,2
I038,P010,5,3,5
I039,P018,5,4,5
I040,P006,5,4,5
I041,P007,5,4,5
I042,P009,6,7,6
I043,P007,3,1,3
I044,P014,4,2,4
I045,P005,4,3,4
I046,P013,5,3,5
I047,P018,3,2,3
I048,P008,5,4,5
I049,P011,6,5,6
I050,P010,4,2,4
I051,P015,4,2,4
I052,P007,3,2,3
I053,P013,3,1,3
I054,P008,5,3,5
I055,P013,3,2,3
I056,P006,5,3,5
I057,P018,6,5,6
I058,P020,3,1,3
I059,P014,3,1,3
I060,P009,5,5,5
I061,P017,3,1,2
I062,P001,5,3,5
I063,P005,5,3,5
I064,P004,5,5,5
I065,P015,4,2,4
I066,P016,4,2,4
I067,P006,4,2,4
I068,P009,5,3,5
I069,P002,4,2,4
I070,P019,6,5,6
I071,P007,4,2,4
I072,P016,5,5,5
I073,P010,6,6,6
I074,P004,6,5,6
I075,P019,5,3,5
I076,P011,5,4,5
I077,P011,5,3,5
I078,P013,3,1,2
I079,P011,6,6,5
I080,P005,4,3,4
I081,P010,5,4,5
I082,P008,4,2,4
I083,P005,5,4,5
I084,P003,3,1,3
I085,P006,5,4,5
I086,P017,4,2,4
I087,P004,6,5,5
I088,P014,2,1,2
I089,P019,4,2,4
I090,P011,6,5,6
I091,P018,5,4,5
I092,P013,3,1,3
I093,P019,5,4,5
I094,P013,2,1,2
I095,P015,4,3,4
I096,P016,4,3,4
I097,P009,6,6,6
I098,P003,3,1,3
I099,P019,5,3,5
I100,P004,6,6,6
I101,P004,6,6,6
I102,P002,4,2,4
I103,P001,5,3,5
I104,P020,3,2,3
I105,P014,4,2,4
I106,P008,4,2,4
I107,P017,5,3,5
I108,P008,4,3,4
I109,P016,4,3,4
I110,P004,3,2,3
I111,P002,5,3,5
I112,P006,5,4,5
I113,P003,4,3,4
I114,P020,3,1,3
