item_id,participant_id,interpretability,specificity,executability
I001,P014,1,1,1
I002,P006,2,3,1
I003,P002,1,1,1
I004,P003,2,2,1
I005,P010,1,1,1
I006,P001,2,2,1
I007,P001,1,1,1
I008,P007,1,1,1
I009,P019,2,2,1
I010,P008,2,2,1
I011,P003,2,3,2
I012,P017,1,1,1
I013,P015,2,3,1
I014,P003,1,1,1
I015,P017,7,7,7
I016,P001,2,3,1
I017,P002,2,1,1
I018,P020,2,1,1
I019,P016,1,1,1
I020,P005,3,3,2
I021,P015,2,2,1
I022,P005,3,3,3
I023,P011,3,5,3
I024,P002,3,4,2
I025,P018,3,3,2
I026,P018,2,2,1
I027,P010,2,2,1
I028,P014,1,1,1
I029,P001,4,4,4
I030,P009,4,5,3
I031,P020,2,1,1
I032,P007,2,1,1
I033,P009,4,6,4
I034,P016,3,3,3
I035,P015,2,1,1
I036,P017,7,7,7
I037,P020,1,1,1
I038,P010,6,5,6
I039,P018,3,3,1
I040,P006,4,4,4
I041,P007,3,3,3
I042,P009,2,6,2
I043,P007,1,1,1
I044,P014,1,1,1
I045,P005,3,3,3
I046,P013,3,3,3
I047,P018,2,1,1
I048,P008,4,4,4
I049,P011,5,5,4
I050,P010,2,1,1
I051,P015,2,1,1
I052,P007,1,1,1
I053,P013,1,1,1
I054,P008,2,2,1
I055,P013,2,1,1
I056,P006,3,3,1
I057,P018,5,5,5
I058,P020,2,1,1
I059,P014,1,1,1
I060,P009,3,4,2
I061,P017,1,1,1
I062,P001,2,2,1
I063,P005,3,2,2
I064,P004,3,5,2
I065,P015,2,1,1
I066,P016,2,2,1
I067,P006,2,2,1
I068,P009,3,2,2
I069,P002,2,1,1
I070,P019,4,5,3
I071,P007,2,1,1
I072,P016,4,4,3
I073,P010,3,6,3
I074,P004,4,5,3
I075,P019,3,2,2
I076,P011,4,5,2
I077,P011,3,3,3
I078,P013,1,1,1
I079,P011,3,5,2
I080,P005,4,3,4
I081,P010,5,4,4
I082,P008,3,2,3
I083,P005,4,4,4
I084,P003,1,1,1
I085,P006,3,4,2
I086,P017,3,2,3
I087,P004,4,5,3
I088,P014,1,1,1
I089,P019,2,2,1
I090,P011,5,4,5
I091,P018,4,4,4
I092,P013,1,1,1
I093,P019,3,3,2
I094,P013,1,1,1
I095,P015,2,2,1
I096,P016,3,3,2
I097,P009,4,6,3
I098,P003,1,1,1
I099,P019,3,3,2
I100,P004,3,5,2
I101,P004,4,5,3
I102,P002,3,2,2
I103,P001,3,3,2
I104,P020,2,1,1
I105,P014,3,3,2
I106,P008,2,1,2
I107,P017,3,2,3
I108,P008,3,3,3
I109,P016,3,3,3
I110,P004,2,2,1
I111,P002,3,3,3
I112,P006,3,3,2
I113,P003,2,2,2
I114,P020,1,1,1
