item_id,participant_id,interpretability,specificity,executability
I001,P014,1,1,1
I002,P006,1,3,1
I003,P002,1,1,1
I004,P003,1,2,1
I005,P010,1,1,1
I006,P001,1,3,1
I007,P001,1,1,1
I008,P007,1,1,1
I009,P019,1,3,1
I010,P008,1,2,1
I011,P003,1,3,1
I012,P017,1,1,1
I013,P015,1,4,1
I014,P003,1,1,1
I015,P017,5,7,5
I016,P001,1,4,1
I017,P002,1,2,1
I018,P020,1,2,1
I019,P016,1,1,1
I020,P005,1,2,1
I021,P015,1,2,1
I022,P005,1,3,1
I023,P011,3,5,3
I024,P002,1,4,1
I025,P018,2,4,2
I026,P018,2,3,2
I027,P010,1,3,1
I028,P014,1,2,1
I029,P001,3,3,3
I030,P009,1,5,1
I031,P020,1,2,1
I032,P007,1,2,1
I033,P009,3,6,3
I034,P016,1,3,1
I035,P015,1,2,1
I036,P017,6,7,6
I037,P020,1,1,1
I038,P010,6,4,6
I039,P018,1,4,1
I040,P006,2,4,2
I041,P007,2,5,2
I042,P009,2,6,2
I043,P007,1,1,1
I044,P014,1,2,1
I045,P005,1,3,1
I046,P013,1,4,1
I047,P018,1,2,1
I048,P008,2,3,2
I049,P011,3,5,3
I050,P010,1,2,1
I051,P015,1,2,1
I052,P007,1,1,1
I053,P013,1,1,1
I054,P008,1,3,1
I055,P013,1,2,1
I056,P006,1,3,1
I057,P018,4,5,4
I058,P020,1,1,1
I059,P014,1,1,1
I060,P009,1,5,1
I061,P017,1,1,1
I062,P001,2,3,2
I063,P005,1,3,1
I064,P004,1,6,1
I065,P015,1,2,1
I066,P016,1,2,1
I067,P006,1,2,1
I068,P009,1,4,1
I069,P002,1,2,1
I070,P019,2,5,2
I071,P007,1,2,1
I072,P016,1,5,1
I073,P010,2,6,2
I074,P004,2,5,2
I075,P019,1,3,1
I076,P011,1,5,1
I077,P011,1,4,1
I078,P013,1,1,1
I079,P011,1,6,1
I080,P005,3,3,3
I081,P010,2,5,2
I082,P008,1,3,1
I083,P005,3,4,3
I084,P003,1,1,1
I085,P006,2,4,2
I086,P017,1,2,1
I087,P004,2,5,2
I088,P014,1,1,1
I089,P019,1,3,1
I090,P011,4,5,4
I091,P018,2,4,2
I092,P013,1,1,1
I093,P019,1,3,1
I094,P013,1,1,1
I095,P015,1,3,1
I096,P016,2,3,2
I097,P009,2,6,2
I098,P003,1,1,1
I099,P019,1,3,1
I100,P004,3,5,3
I101,P004,1,6,1
I102,P002,1,3,1
I103,P001,2,3,2
I104,P020,1,2,1
I105,P014,1,3,1
I106,P008,1,2,1
I107,P017,1,3,1
I108,P008,2,3,2
I109,P016,1,3,1
I110,P004,1,2,1
I111,P002,1,4,1
I112,P006,2,3,2
I113,P003,3,3,3
I114,P020,1,1,1
