item_id,participant_id,dimension,score
I001,P014,spatial,0
I001,P014,camera,0
I002,P006,spatial,0
I002,P006,relation,0
I002,P006,camera,0
I003,P002,spatial,0
I003,P002,relation,0
I004,P003,object,0
I004,P003,spatial,0
I005,P010,camera,0
I005,P010,spatial,0
I006,P001,spatial,0
I006,P001,camera,0
I007,P001,camera,0
I007,P001,spatial,0
I008,P007,object,0
I008,P007,spatial,0
I009,P019,camera,0
I009,P019,spatial,0
I010,P008,spatial,0
I010,P008,relation,0
I011,P003,spatial,0
I011,P003,camera,0
I012,P017,camera,0
I012,P017,spatial,0
I013,P015,spatial,0
I013,P015,relation,0
I014,P003,spatial,0
I014,P003,camera,0
I015,P017,spatial,2
I015,P017,camera,3
I016,P001,spatial,0
I016,P001,camera,0
I017,P002,spatial,0
I017,P002,object,0
I018,P020,spatial,0
I018,P020,camera,0
I019,P016,spatial,0
I019,P016,object,0
I020,P005,spatial,0
I020,P005,camera,0
I021,P015,spatial,0
I021,P015,relation,0
I022,P005,spatial,0
I022,P005,object,0
I023,P011,camera,0
I023,P011,relation,2
I024,P002,spatial,0
I024,P002,relation,0
I025,P018,spatial,0
I025,P018,relation,0
I025,P018,camera,1
I026,P018,camera,1
I026,P018,relation,0
I027,P010,object,0
I027,P010,spatial,0
I028,P014,spatial,0
I028,P014,object,0
I029,P001,spatial,1
I029,P001,relation,1
I030,P009,spatial,0
I030,P009,relation,0
I031,P020,camera,0
I031,P020,relation,0
I032,P007,spatial,0
I032,P007,camera,0
I033,P009,camera,0
I033,P009,relation,2
I034,P016,spatial,0
I034,P016,object,0
I035,P015,spatial,0
I035,P015,camera,0
I036,P017,spatial,2
I036,P017,relation,3
I037,P020,object,0
I037,P020,spatial,0
I038,P010,spatial,3
I038,P010,object,3
I039,P018,camera,0
I039,P018,spatial,0
I040,P006,spatial,0
I040,P006,relation,1
I041,P007,object,1
I041,P007,spatial,0
I042,P009,spatial,0
I042,P009,object,1
I043,P007,camera,0
I043,P007,spatial,0
I044,P014,spatial,0
I044,P014,object,0
I045,P005,spatial,0
I045,P005,camera,0
I046,P013,spatial,0
I046,P013,relation,0
I047,P018,spatial,0
I047,P018,relation,0
I048,P008,spatial,1
I048,P008,camera,0
I049,P011,spatial,2
I049,P011,camera,0
I050,P010,spatial,0
I050,P010,camera,0
I051,P015,spatial,0
I051,P015,relation,0
I052,P007,spatial,0
I052,P007,object,0
I053,P013,camera,0
I053,P013,relation,0
I054,P008,object,0
I054,P008,spatial,0
I055,P013,spatial,0
I055,P013,object,0
I056,P006,spatial,0
I056,P006,relation,0
I057,P018,spatial,2
I057,P018,camera,1
I058,P020,spatial,0
I058,P020,camera,0
I059,P014,spatial,0
I059,P014,relation,0
I060,P009,spatial,0
I060,P009,object,0
I061,P017,spatial,0
I061,P017,object,0
I062,P001,spatial,0
I062,P001,relation,0
I062,P001,camera,1
I063,P005,spatial,0
I063,P005,relation,0
I064,P004,spatial,0
I064,P004,object,0
I065,P015,spatial,0
I065,P015,camera,0
I066,P016,spatial,0
I066,P016,relation,0
I067,P006,spatial,0
I067,P006,object,0
I068,P009,object,0
I068,P009,spatial,0
I069,P002,spatial,0
I069,P002,camera,0
I070,P019,camera,0
I070,P019,spatial,1
I071,P007,camera,0
I071,P007,relation,0
I072,P016,object,0
I072,P016,spatial,0
I073,P010,spatial,1
I073,P010,object,0
I074,P004,object,1
I074,P004,spatial,0
I075,P019,spatial,0
I075,P019,relation,0
I076,P011,object,0
I076,P011,spatial,0
I077,P011,spatial,0
I077,P011,relation,0
I078,P013,object,0
I078,P013,spatial,0
I079,P011,object,0
I079,P011,spatial,0
I080,P005,camera,0
I080,P005,spatial,2
I081,P010,spatial,1
I081,P010,relation,0
I082,P008,spatial,0
I082,P008,camera,0
I083,P005,camera,0
I083,P005,relation,2
I084,P003,object,0
I084,P003,spatial,0
I085,P006,spatial,1
I085,P006,object,0
I086,P017,spatial,0
I086,P017,relation,0
I087,P004,spatial,0
I087,P004,relation,1
I088,P014,spatial,0
I088,P014,camera,0
I089,P019,object,0
I089,P019,spatial,0
I090,P011,spatial,1
I090,P011,relation,2
I091,P018,spatial,0
I091,P018,camera,1
I092,P013,spatial,0
I092,P013,relation,0
I093,P019,spatial,0
I093,P019,relation,0
I094,P013,spatial,0
I094,P013,relation,0
I095,P015,camera,0
I095,P015,spatial,0
I096,P016,spatial,0
I096,P016,relation,1
I097,P009,spatial,1
I097,P009,relation,0
I098,P003,spatial,0
I098,P003,relation,0
I099,P019,spatial,0
I099,P019,relation,0
I099,P019,camera,0
I100,P004,camera,1
I100,P004,spatial,1
I101,P004,camera,0
I101,P004,spatial,0
I102,P002,camera,0
I102,P002,spatial,0
I103,P001,spatial,1
I103,P001,camera,0
I104,P020,spatial,0
I104,P020,object,0
I105,P014,spatial,0
I105,P014,relation,0
I106,P008,camera,0
I106,P008,relation,0
I107,P017,spatial,0
I107,P017,camera,0
I108,P008,spatial,0
I108,P008,relation,1
I109,P016,camera,0
I109,P016,spatial,0
I110,P004,spatial,0
I110,P004,relation,0
I111,P002,object,0
I111,P002,spatial,0
I112,P006,camera,1
I112,P006,spatial,0
I113,P003,spatial,1
I113,P003,relation,1
I113,P003,camera,0
I114,P020,spatial,0
I114,P020,relation,0
