item_id,participant_id,interpretability,spatial_specificity,temporal_action_specificity,executability,overall_precision,reconstructable
I001,P006,7,6,6,6,6,1
I002,P013,3,2,3,3,3,0
I003,P001,5,4,6,5,5,1
I004,P002,5,4,6,5,5,1
I005,P017,5,3,6,4,4,1
I006,P005,6,5,7,6,6,1
I007,P001,7,6,7,7,7,1
I008,P003,6,5,6,5,5,1
I009,P009,7,7,7,7,7,1
I010,P003,5,4,5,5,5,1
I011,P010,7,6,7,7,7,1
I012,P003,6,6,6,6,6,1
I013,P019,5,4,3,4,4,1
I014,P016,6,5,5,5,5,1
I015,P009,6,6,3,5,5,1
I016,P007,7,5,7,7,7,1
I017,P001,7,6,6,7,7,1
I018,P002,6,5,3,6,5,1
I019,P016,2,2,1,2,2,0
I020,P017,6,5,7,6,6,1
I021,P008,5,5,6,5,5,1
I022,P013,7,6,6,7,7,1
I023,P007,5,4,6,5,5,1
I024,P020,5,3,6,5,5,1
I025,P014,5,3,6,4,4,0
I026,P018,7,7,6,7,7,1
I027,P005,6,6,6,6,6,1
I028,P018,2,3,1,2,2,0
I029,P005,6,5,6,6,6,1
I030,P001,7,5,7,7,7,1
I031,P001,7,7,6,7,7,1
I032,P017,5,3,5,5,5,1
I033,P016,7,7,3,7,7,1
I034,P015,5,4,5,5,5,1
I035,P013,3,2,4,3,3,0
I036,P010,6,6,6,6,6,1
I037,P015,6,4,6,5,5,1
I038,P019,7,6,7,7,7,1
I039,P012,7,7,6,7,7,1
I040,P020,2,1,3,2,2,0
I041,P016,5,6,2,5,5,1
I042,P010,4,3,4,4,3,0
I043,P006,7,6,6,7,7,1
I044,P007,6,6,7,6,6,1
I045,P009,7,7,4,7,7,1
I046,P007,3,2,4,3,3,0
I047,P012,7,7,3,7,7,1
I048,P005,6,6,6,6,6,1
I049,P013,2,2,2,2,2,0
I050,P017,3,2,4,3,3,0
I051,P014,6,5,6,6,6,1
I052,P016,6,5,6,6,6,1
I053,P009,6,7,5,6,6,1
I054,P011,6,6,6,6,6,1
I055,P015,6,5,6,6,6,1
I056,P007,4,3,5,4,4,0
I057,P014,6,4,6,5,5,1
I058,P008,7,6,7,7,7,1
I059,P018,7,5,4,6,6,1
I060,P006,6,5,7,6,6,1
I061,P012,6,7,5,6,6,1
I062,P011,7,7,7,7,7,1
I063,P020,5,4,5,5,5,1
I064,P008,7,6,7,7,7,1
I065,P002,7,6,6,7,6,1
I066,P010,6,5,6,6,6,1
I067,P004,7,7,2,7,7,1
I068,P014,5,4,6,5,5,1
I069,P015,6,5,6,5,6,1
I070,P006,5,5,5,5,5,1
I071,P009,6,5,4,6,6,1
I072,P002,7,5,7,7,7,1
I073,P018,7,6,3,7,6,1
I074,P007,6,4,7,6,6,1
I075,P017,7,7,5,7,7,1
I076,P010,7,7,7,7,7,1
I077,P004,7,7,3,7,7,1
I078,P019,6,5,6,6,6,1
I079,P011,7,7,6,7,7,1
I080,P014,6,5,6,6,5,1
I081,P011,7,5,7,7,7,1
I082,P012,7,7,6,7,7,1
I083,P011,6,7,4,6,6,1
I084,P005,6,6,6,6,6,1
I085,P010,7,6,7,6,7,1
I086,P008,6,5,6,6,6,1
I087,P005,6,6,6,6,6,1
I088,P003,5,4,6,5,5,1
I089,P006,7,6,6,7,7,1
I090,P017,6,7,4,6,6,1
I091,P004,6,6,3,6,6,1
I092,P013,2,2,1,2,2,0
I093,P019,7,7,7,7,7,1
I094,P011,7,7,4,7,7,1
I095,P018,7,6,6,7,7,1
I096,P012,7,7,7,7,7,1
I097,P020,5,4,5,5,5,1
I098,P012,7,7,6,7,7,1
I099,P014,2,1,1,2,2,0
I100,P015,6,4,6,6,6,1
I101,P009,6,7,4,6,6,1
I102,P003,4,3,5,4,4,0
I103,P019,6,5,6,6,6,1
I104,P004,7,7,6,7,7,1
I105,P004,7,7,5,7,7,1
I106,P002,6,5,6,6,6,1
I107,P001,6,5,6,6,6,1
I108,P018,7,6,3,7,6,1
I109,P020,3,3,3,3,3,0
I110,P013,3,2,4,3,3,0
I111,P008,5,4,6,5,5,1
I112,P016,5,4,5,5,5,1
I113,P008,6,6,6,6,6,1
I114,P015,6,6,6,6,6,1
I115,P020,4,3,5,4,4,0
I116,P004,3,3,1,3,3,0
I117,P002,7,6,6,7,7,1
I118,P006,6,6,5,6,6,1
I119,P003,6,5,6,6,6,1
I120,P019,7,6,6,7,7,1
