expert_id,expert_slug,item_id,participant_id,task_id,stage,block,image_id,dimension,score
expert_01,xinxiangyang,I001,P014,T3_transfer_E02,T3,transfer,E02,spatial,0
expert_01,xinxiangyang,I001,P014,T3_transfer_E02,T3,transfer,E02,camera,0
expert_01,xinxiangyang,I002,P006,T1_early_C01,T1,early,C01,spatial,0
expert_01,xinxiangyang,I002,P006,T1_early_C01,T1,early,C01,relation,0
expert_01,xinxiangyang,I002,P006,T1_early_C01,T1,early,C01,camera,0
expert_01,xinxiangyang,I003,P002,T1_early_C02,T1,early,C02,spatial,0
expert_01,xinxiangyang,I003,P002,T1_early_C02,T1,early,C02,relation,0
expert_01,xinxiangyang,I004,P003,T1_early_D02,T1,early,D02,object,0
expert_01,xinxiangyang,I004,P003,T1_early_D02,T1,early,D02,spatial,0
expert_01,xinxiangyang,I005,P010,T3_transfer_A02,T3,transfer,A02,camera,0
expert_01,xinxiangyang,I005,P010,T3_transfer_A02,T3,transfer,A02,spatial,0
expert_01,xinxiangyang,I006,P001,T1_early_E04,T1,early,E04,spatial,1
expert_01,xinxiangyang,I006,P001,T1_early_E04,T1,early,E04,camera,0
expert_01,xinxiangyang,I007,P001,T2_middle_A04,T2,middle,A04,camera,0
expert_01,xinxiangyang,I007,P001,T2_middle_A04,T2,middle,A04,spatial,0
expert_01,xinxiangyang,I008,P007,T1_early_D01,T1,early,D01,object,0
expert_01,xinxiangyang,I008,P007,T1_early_D01,T1,early,D01,spatial,0
expert_01,xinxiangyang,I009,P019,T2_middle_A02,T2,middle,A02,camera,0
expert_01,xinxiangyang,I009,P019,T2_middle_A02,T2,middle,A02,spatial,0
expert_01,xinxiangyang,I010,P008,T3_transfer_C04,T3,transfer,C04,spatial,0
expert_01,xinxiangyang,I010,P008,T3_transfer_C04,T3,transfer,C04,relation,0
expert_01,xinxiangyang,I011,P003,T1_early_E02,T1,early,E02,spatial,1
expert_01,xinxiangyang,I011,P003,T1_early_E02,T1,early,E02,camera,0
expert_01,xinxiangyang,I012,P017,T1_early_A03,T1,early,A03,camera,0
expert_01,xinxiangyang,I012,P017,T1_early_A03,T1,early,A03,spatial,0
expert_01,xinxiangyang,I013,P015,T1_early_C04,T1,early,C04,spatial,0
expert_01,xinxiangyang,I013,P015,T1_early_C04,T1,early,C04,relation,0
expert_01,xinxiangyang,I014,P003,T3_transfer_E05,T3,transfer,E05,spatial,0
expert_01,xinxiangyang,I014,P003,T3_transfer_E05,T3,transfer,E05,camera,0
expert_01,xinxiangyang,I015,P017,T2_middle_D03,T2,middle,D03,spatial,2
expert_01,xinxiangyang,I015,P017,T2_middle_D03,T2,middle,D03,camera,3
expert_01,xinxiangyang,I016,P001,T2_middle_E05,T2,middle,E05,spatial,0
expert_01,xinxiangyang,I016,P001,T2_middle_E05,T2,middle,E05,camera,0
