participant_id,group,task_id,stage,block,image_id,expert_id,interpretability,spatial_specificity,temporal_action_specificity,executability,overall_precision,reconstructable
P006,Control,T1_early_C01,T1,early,C01,expert_01,6,6,5,6,6,1
P013,Scaffold,T3_transfer_D04,T3,transfer,D04,expert_01,3,2,3,2,3,0
P001,Scaffold,T2_middle_A04,T2,middle,A04,expert_01,5,3,5,4,4,1
P002,Control,T1_early_C02,T1,early,C02,expert_01,5,3,5,4,4,1
P005,Control,T1_middle_E03,T1,middle,E03,expert_01,6,5,6,6,6,1
P001,Scaffold,T1_early_E04,T1,early,E04,expert_01,7,6,7,6,6,1
P009,Scaffold,T1_early_C02,T1,early,C02,expert_01,7,7,7,7,7,1
P010,Scaffold,T3_transfer_D01,T3,transfer,D01,expert_01,6,5,6,6,6,1
P016,Scaffold,T3_transfer_C02,T3,transfer,C02,expert_01,5,5,4,5,5,1
P009,Scaffold,T3_transfer_E01,T3,transfer,E01,expert_01,7,6,4,6,6,1
P007,Control,T3_transfer_E05,T3,transfer,E05,expert_01,6,5,6,6,6,1
P001,Scaffold,T2_middle_E05,T2,middle,E05,expert_01,7,6,6,6,6,1
P002,Control,T3_transfer_E03,T3,transfer,E03,expert_01,6,4,4,6,5,1
P016,Scaffold,T3_transfer_D06,T3,transfer,D06,expert_01,2,2,1,2,2,0
P008,Control,T3_transfer_C04,T3,transfer,C04,expert_01,5,4,5,5,5,1
P013,Scaffold,T2_middle_C03,T2,middle,C03,expert_01,7,6,7,6,6,1
P007,Control,T1_early_D01,T1,early,D01,expert_01,5,2,5,4,4,1
P014,Scaffold,T1_early_C04,T1,early,C04,expert_01,5,2,5,4,4,1
P005,Control,T1_early_D03,T1,early,D03,expert_01,6,5,6,5,5,1
P005,Control,T3_transfer_C02,T3,transfer,C02,expert_01,6,5,6,6,6,1
P001,Scaffold,T3_transfer_C01,T3,transfer,C01,expert_01,7,5,7,6,6,1
P001,Scaffold,T3_transfer_D05,T3,transfer,D05,expert_01,7,6,6,6,6,1
P016,Scaffold,T1_early_D02,T1,early,D02,expert_01,7,7,3,6,6,1
P015,Control,T1_early_E05,T1,early,E05,expert_01,5,3,5,4,4,1
P013,Scaffold,T1_early_A05,T1,early,A05,expert_01,4,2,4,3,3,0
P010,Scaffold,T2_middle_E01,T2,middle,E01,expert_01,6,5,5,5,5,1
P015,Control,T3_transfer_C02,T3,transfer,C02,expert_01,5,3,5,5,5,1
P012,Control,T3_transfer_A05,T3,transfer,A05,expert_01,7,7,6,6,6,1
P016,Scaffold,T2_middle_E03,T2,middle,E03,expert_01,5,5,3,4,4,1
P010,Scaffold,T1_early_E04,T1,early,E04,expert_01,4,2,4,3,3,0
P006,Control,T3_transfer_D05,T3,transfer,D05,expert_01,7,6,6,6,6,1
P007,Control,T1_early_D02,T1,early,D02,expert_01,6,6,7,6,6,1
P009,Scaffold,T3_transfer_D06,T3,transfer,D06,expert_01,7,7,5,7,7,1
P007,Control,T1_middle_A04,T1,middle,A04,expert_01,3,1,3,2,3,0
P012,Control,T1_early_D03,T1,early,D03,expert_01,7,7,3,6,6,1
P005,Control,T1_early_E02,T1,early,E02,expert_01,6,6,7,6,6,1
P013,Scaffold,T3_transfer_E03,T3,transfer,E03,expert_01,3,2,3,2,3,0
P014,Scaffold,T3_transfer_E03,T3,transfer,E03,expert_01,5,4,6,5,5,1
P016,Scaffold,T2_middle_A04,T2,middle,A04,expert_01,6,4,6,5,5,1
P009,Scaffold,T2_middle_A05,T2,middle,A05,expert_01,7,7,5,6,6,1
P011,Scaffold,T3_transfer_A05,T3,transfer,A05,expert_01,6,6,6,6,6,1
P015,Control,T1_middle_D05,T1,middle,D05,expert_01,6,4,5,5,5,1
P007,Control,T1_middle_E01,T1,middle,E01,expert_01,3,2,4,3,3,0
P014,Scaffold,T2_middle_D06,T2,middle,D06,expert_01,5,3,6,4,4,1
P008,Control,T1_early_D04,T1,early,D04,expert_01,6,5,6,6,6,1
P006,Control,T1_early_C03,T1,early,C03,expert_01,6,5,7,6,6,1
P012,Control,T1_middle_C04,T1,middle,C04,expert_01,7,7,6,6,7,1
P011,Scaffold,T1_early_E04,T1,early,E04,expert_01,7,6,7,6,6,1
P008,Control,T1_early_E04,T1,early,E04,expert_01,6,6,6,6,6,1
P002,Control,T1_middle_C04,T1,middle,C04,expert_01,7,6,6,6,6,1
P010,Scaffold,T3_transfer_A02,T3,transfer,A02,expert_01,6,5,6,5,5,1
P004,Scaffold,T1_early_E01,T1,early,E01,expert_01,7,6,3,6,6,1
